estado,feminino,masculino
AC,1.898,2.078
AL,7.376,7.847
AM,8.181,7.544
AP,2.124,2.049
BA,33.281,28.654
CE,19.541,20.292
DF,26.508,25.358
ES,14.451,13.009
GO,28.562,25.229
MA,12.026,12.020
MG,74.205,69.942
MS,9.500,9.505
MT,13.516,12.059
PA,15.124,13.056
PB,10.665,11.491
PE,22.227,21.046
PI,8.684,9.517
PR,47.022,44.869
RJ,84.602,74.423
RN,8.106,8.413
RO,5.818,5.102
RR,1.473,1.398
RS,51.660,47.028
SC,27.023,25.110
SE,6.955,6.370
SP,197.236,181.116
TO,4.966,4.592
